Der dritte man,Graham Greece,Fiction,DE,Berlin
Der elefant Verschwindet,Haruki Murakami,Fiction,DE,Berlin
Der englische patient,Michael ondaatje,Fiction,DE,Berlin
Der Gott der kleine Dinge,Arundathi Roy,Fiction,DE,Berlin
Der grosse gatsby,Francis Scott Fitzgerald,Fiction,DE,Berlin
Der idiot,Fyodor Dostoyevsky,Fiction,DE,Berlin
Der jongleur,Margriet de moor,Fiction,DE,Berlin
Der kleine Prinz kehrt zurück,Jean-Pierre Davidts,Fiction,DE,Berlin
Der Mann mit der ledertasche,Charles Bukowski,Fiction,DE,Berlin
"Der mann, der den zügen nachsah",Georges Simenon,Fiction,DE,Berlin
Der mantel die nase,Nikolak Gogol,Fiction,DE,Berlin
Der meister und margarita,Michail Bulgakow,Fiction,DE,Berlin
Der Prinz und der Bettlerknabe,Mark Twain,Fiction,DE,Berlin
Der steppenwolf,Herman Hesse,Fiction,DE,Berlin
Der Steppenwolf,Hermann Hesse,Fiction,DE,Berlin
Der Tag zieht den Jahrhundertweg,Tschingis Aitmatow,Fiction,DE,Berlin
Der verlorene Ehre der katharina Blum,Heinrich Böll,Fiction,DE,Berlin
Der Vorleser,Bernhard Schlink,Fiction,DE,Berlin
Der weise Dampfer,Tschingis Aitmatow,Fiction,DE,Berlin
Der Zementgarten ian mcewan,Ian McEwan,Fiction,DE,Berlin
Deutschen Heldensagen,Multiple authors,Fiction,DE,Berlin
Dickens,David Copperfield,Fiction,DE,Berlin
Die Akazie ,Claude Simon,Fiction,DE,Berlin
Die entdeckung der langsamkeit,Sten Nadolny,Fiction,DE,Berlin
Die horbachs,Luise Dickhut,Fiction,DE,Berlin
Die Kamiliendame,Alexandre Dumas,Fiction,DE,Berlin
Die räuber-bande,Leonhard Franke,Fiction,DE,Berlin
Die Reise der Anna Grom,Maria Rybakova,Fiction,DE,Berlin
Die souveräne leserin,Alan Bennet,Fiction,DE,Berlin
Die stimmen van marrakesh,Elias Canetti,Fiction,DE,Berlin
Die Strasse der ölsardinen,John Steinbeck,Fiction,DE,Berlin
Die Unheimliche Bibliothek,Haruki Murakami,Fiction,DE,Berlin
Die verwandlung,Franz Kafka,Fiction,DE,Berlin
Die wilde geschichte vom wassertrinker,John Irving,Fiction,DE,Berlin
Dunkle Passagen,"Walter-benjamin
",Fiction,DE,Berlin
Eine liebe swanns,Marcel proust,Fiction,DE,Berlin
Emil un die Detektive,Erich Kästner,Fiction,DE,Berlin
Faserland,Christian Kracht,Fiction,DE,Berlin
Flut,Wolfgang Hohlbein,Fiction,DE,Berlin
Fraszki,Jan Kochanowski,Fiction,DE,Berlin
Fraulein smillas gespür dur schnee,Peter Hoeg,Fiction,DE,Berlin
Frühe Kraniche,Tschingis Aitmatow,Fiction,DE,Berlin
Früstück bei tiffany,Truman Capote,Fiction,DE,Berlin
George Orwell,Rache ist sauer,Fiction,DE,Berlin
Gute Nacht Zuckerpüppchen,Heidi Hassenmüller,Fiction,DE,Berlin
Hard-boiled wonderuland und das ende der welt,Haruki Murakami,Fiction,DE,Berlin
Herr lehmann,Sven regener,Fiction,DE,Berlin
